id,location,latitude,longitude,postalCode,walkScore,propertyType,style,yearBuilt,bedrooms,bathrooms,parking,garage,lotDepth,lotFrontage,price
13,"1908+-+2625+Regina+Street,Ottawa",45.3663657,-75.7916808,K2B 5W8,59,Residential,Apartment,1975,3,1,1,1,0,0,"319,900"
14,"608+-+224+Lyon+Street,Centretown+Ottawa",45.4159256,-75.7028331,K1R 0C1,92,Residential,Apartment,2015,1,1,0,0,0,0,"285,000"
15,"802+-+200+Inlet+Private,Ottawa",45.4999212,-75.4790206,K4A 5H3,3,Residential,Apartment,2019,2,2,1,1,0,0,"645,000"
16,"540+Highland+Avenue,Mckellar+Park+Ottawa",45.3853729,-75.7581717,K2A 2J7,65,Residential,Detached,1912,4,3,3,1,29.6,18.29,"1,299,000"
17,"601+-+111+Champagne+Avenue,Ottawa",45.3986044,-75.7111356,K1S 5V3,79,Residential,Apartment,2015,2,2,2,2,0,0,"549,000"
18,"14+-+920+Dynes+Road,Carleton+Heights+Ottawa",45.3695032,-75.7057747,K2C 0G8,51,Residential,Row Unit,1972,3,2,1,1,0,0,"320,000"
19,"309+Gotham+Private,Central+Park+Ottawa",45.3721466,-75.7340016,K2C 4G8,37,Residential,Row Unit,2005,2,2,2,1,13.98,6.2,"459,000"
20,"2380+Sixth+Line+Road,Rural+Kanata+Ottawa",45.4318163,-75.961197,K0A 1T0,3,Residential,Detached,1984,6,4,8,2,283.2,265.05,"960,000"
21,"1116+Shillington+Avenue,Experimental+Farm+Ottawa",45.3875035,-75.7091642,K1Z 6N7,53,Residential,Semi Detached,2011,4,4,2,1,21.76,8.15,"699,900"
22,"8B+-+310+Central+Park+Drive,Central+Park+Ottawa",45.3676114,-75.7335198,K2C 4G4,44,Residential,Apartment,2003,2,1,1,1,0,0,"299,900"
23,"86+Russet+Terrace,Barrhaven+-+Half+Moon+Bay+Ottawa",45.2564167,-75.7405564,K2J 6E8,1,Residential,Detached,2017,4,3,6,2,28,11,"664,900"
24,"360+Woodfield+Drive,Nepean+Ottawa",45.3343965,-75.7432933,K2G 3W9,23,Residential,Row Unit,1978,3,1,1,0,0,0,"299,900"
25,"34+Woodgate+Way,Longfields+Ottawa",45.2953736,-75.7332292,K2J 4C9,48,Residential,Row Unit,1992,3,3,3,1,34.3,8.99,"399,900"
26,"604+-+199+Slater+Street,Centre+Town+Ottawa",45.4199156,-75.6989661,K1P 0A6,97,Residential,Apartment,2016,0,1,0,0,0,0,"299,000"
27,"229+Pingwi+Place,Findlay+Creek+Ottawa",45.30954,-75.5921922,K1X 0G1,10,Residential,Row Unit,2019,3,3,2,1,32,6.1,"524,900"
28,"510+Dusty+Miller+Crescent,Riverside+South+Ottawa",45.2831346,-75.6733364,K1V 2K1,2,Residential,Detached,2009,5,4,5,2,31,15.3,"949,900"
29,"536+Millars+Sound+Way,Half+Moon+Bay+Ottawa",45.2551561,-75.7426302,K2J 6K4,2,Residential,Detached,2018,4,3,4,2,25,13.1,"779,900"
30,"897+Bideford+Street,Fallingbrook+Ottawa",45.4803207,-75.477757,K4A 2L9,40,Residential,Detached,1992,3,2,3,1,31.96,18.15,"435,000"
31,"57+Astervale+Street,Summerside+West+Ottawa",45.4451182,-75.4792338,K4A 1A3,17,Residential,Row Unit,2017,3,3,3,1,25.5,6.5,"470,000"
32,"2354+Wyndale+Crescent,Guildwood+Estates+-+Urbandale+Ottawa",45.381766,-75.6479545,K1H 7A6,29,Residential,Detached,1970,4,3,6,2,30.48,18.29,"724,900"
33,"501+-+429+Somerset+Street,Centre+Town+Ottawa",45.4136223,-75.7006529,K2P 2P5,95,Residential,Apartment,2003,1,1,0,0,0,0,"324,900"
34,"246+Shanly+Private,Stonebridge+Ottawa",45.2537849,-75.7354865,K2J 5X6,3,Residential,Stacked,2014,2,3,2,0,0,0,"299,900"
35,"756+Kilbirnie+Drive,Stonebridge+Ottawa",45.2453603,-75.72133,K2J 0M2,4,Residential,Detached,2009,4,5,4,2,0,28.86,"1,049,900"
36,"303+-+1433+Wellington+Street,Wellington+Village+Ottawa",45.3978516,-75.7413481,K1Y 2X3,85,Residential,Apartment,2012,2,2,1,1,0,0,"474,900"
37,"1107+-+1480+Riverside+Drive,Riverview+Park+Alta+Vista+Ottawa",45.4105887,-75.6609324,K1G 5H2,30,Residential,Apartment,1991,2,2,1,1,0,0,"549,000"
38,"389+West+Ridge+Drive,Deer+Run+Ottawa",45.2449579,-75.9200035,K2S 2G9,9,Residential,Detached,2006,6,4,6,2,32,15.24,"819,900"
39,"1+Sundback+Lane,The+Meadows+Ottawa",45.3063296,-75.8974075,K2L 2W9,49,Residential,Row Unit,1984,3,3,2,1,0,0,"300,000"
40,"1099+Aldea+Avenue,Billings+Bridge+Ottawa",45.3805778,-75.6735427,K1H 8C1,79,Residential,Semi Detached,1960,5,2,3,0,28.96,9.6,"599,900"
41,"57+Summitview+Drive,Kanata+Ottawa",45.2779124,-75.8390458,K2M 2T5,10,Residential,Detached,2016,4,3,3,1,0,12.73,"599,900"
42,"125+Sumac+Hill+Lane,Horse+Shoe+Bay+Ottawa",45.4883965,-76.0498,K0A 1T0,1,Residential,Detached,,3,1,6,0,51.45,43.13,"429,000"
43,"1132+St+Pierre+Street,Convent+Glen+South+Ottawa",45.4745956,-75.522267,K1C 1L5,64,Residential,Detached,1940,4,2,5,0,38.22,20.12,"549,900"
44,"805+-+158+Mcarthur+Avenue,Vanier+Ottawa",45.4306706,-75.6632267,K1L 7E7,76,Residential,Apartment,1972,2,1,1,1,0,0,"269,000"
45,"214+Larimar+Circle,Riverside+South+Ottawa",45.2762891,-75.6757061,K1X 0B7,3,Residential,Row Unit,2017,3,3,2,1,35.43,7.91,"679,900"
46,"2001+Navaho+Drive,Bel+Air+Heights+Ottawa",45.3612538,-75.7562245,K2C 0T9,30,Multifamily,,1959,,,3,0,30.48,15.24,"849,880"
47,"158+Grandview+Road,Crystal+Bay+Ottawa",45.3616933,-75.8576948,K2H 8B1,3,Residential,Detached,1989,3,3,4,2,24.99,39.62,"750,000"
48,"186+Calaveras+Avenue,Longfields+Ottawa",45.278095,-75.7381586,,57,Single Family,,2007,3,3,,,,,"489,900"
49,"21+Hanover+Court,Bridlewood+Ottawa",45.290067,-75.8625057,,49,Single Family,,1991,3,3,,,,,"474,900"
50,"28+Carmichael+Court,Beaverbrook+Ottawa",45.3314627,-75.913281,,35,Single Family,,1971,4,2,,,,,"339,000"
51,"317+Lajoie+Street,Vanier+Ottawa",45.4352967,-75.6587767,,78,Multi-family,,2020,,0,,,,,"1,395,000"
52,"110+Springfield+Road,Lindenlea+Ottawa",45.4423546,-75.6773234,K1M 1C6,82,Residential,Semi Detached,1947,4,2,2,0,17.79,11.34,"830,000"
53,"55+Tapadero+Avenue,Emerald+Meadows+Trailwest+Ottawa",45.2786349,-75.8848439,K2S 1B6,6,Residential,Row Unit,2017,4,3,3,1,31.94,8.28,"499,900"
54,"48+Fireside+Crescent,Hunt+Club+Park-greenboro+Ottawa",45.3625136,-75.6424089,K1T 1Z4,47,Residential,Detached,1983,3,3,2,1,31.62,9.06,"485,000"
55,"2687+Page+Road,Chapel+Hill+South+Ottawa",45.4342898,-75.5197354,K1W 1G2,3,Residential,Detached,1974,5,3,8,0,101.13,22.8,"749,900"
56,"603+Rouncey+Road,Blackstone+Ottawa",45.2757991,-75.8804452,K2V 0C4,6,Residential,Detached,2017,4,3,6,2,45.91,14.19,"769,900"
57,"1204+Lassiter+Terrace,Beaconwood+Ottawa",45.4498174,-75.5967403,K1J 8N1,55,Residential,Row Unit,1976,3,2,1,0,0,0,"349,900"
58,"6617+Parkway+Road,Greely+Ottawa",45.2508315,-75.5888025,K4P 1E5,3,Residential,Detached,1972,5,2,8,3,58.73,43.62,"500,000"
59,"108+Chartley+Private,Ridgemont+Ottawa",45.3741733,-75.6550284,K1V 2J6,61,Residential,Row Unit,2008,3,2,2,1,26.05,5.64,"459,000"
60,"923+Greenbriar+Avenue,Carleton+Heights+Ottawa",45.3660937,-75.7040295,K2C 0J8,50,Residential,Row Unit,1971,4,2,2,0,43.77,5.69,"374,900"
61,"1105+-+134+York+Street,Byward+Market+Ottawa",45.4293706,-75.6895531,K1N 1K8,97,Residential,Apartment,2005,1,1,0,0,0,0,"395,000"
62,"210+Mariposa+Avenue,Rockcliffe+Park+Ottawa",45.4478298,-75.6799527,K1M 0T5,42,Residential,Detached,1929,4,3,4,1,28.38,29.08,"1,489,000"
63,"379+Hamilton+Avenue,Civic+Hospital+Ottawa",45.3939377,-75.7258383,K1Y 1C8,70,Residential,Detached,1936,4,2,3,1,26.82,12.19,"1,025,000"
64,"312+Holmwood+Avenue,Glebe+Ottawa",45.3958246,-75.6959127,K1S 2R3,54,Residential,Detached,1935,3,2,3,1,27.43,12.19,"849,900"
65,"405+Johnny+Porter+Court,King's+Creek+Estates+-+Phase+2+Ottawa",45.4215296,-75.6971931,K0A 1B0,1,Residential,Detached,2020,3,2,6,3,105.51,46,"735,900"
66,"1902+-+1500+Riverside+Drive,Riverview+Park+Ottawa",45.4021046,-75.6669047,K1G 4J4,30,Residential,Apartment,1986,2,2,1,1,0,0,"345,000"
67,"59+-+110+Havelock+Street,Ottawa",45.4154338,-75.6789049,K1S 5L3,59,Residential,Row Unit,1984,3,3,1,0,0,0,"500,000"
68,"725+-+727+Somerset+Street+W,West+Center+Town+Ottawa",45.4106348,-75.7083867,,89,Retail,,,,0,,,,,"2,500,000"
69,"2001+Navaho+Drive,Bel+Air+Heights+Ottawa",45.3612538,-75.7562245,K2C 0T9,30,Multifamily,,1959,,,3,0,30.48,15.24,"849,880"
70,"197+Teal+Crescent,Chatelaine+Village+Ottawa",45.4885337,-75.5132014,K1E 2C3,33,Residential,Row Unit,1979,3,2,1,0,0,0,"274,900"
71,"702+Reverie+Private,Stittsville+Central+Ottawa",45.2595615,-75.9206156,K2S 0T9,50,Residential,Apartment,2018,2,1,2,1,0,0,"349,900"
72,"55+Clifford+Private,Hunt+Club+Park+Ottawa",45.3733855,-75.6193398,K1G 4Y2,33,Residential,Row Unit,1988,3,3,2,1,0,0,"359,900"
73,"182+Murray+Street,Lower+Town/byward+Market+Ottawa",45.4308801,-75.6905389,K1N 5M8,95,Multifamily,,,,,5,,32.26,10.09,"699,000"
74,"184+Murray+Street,Lower+Town/byward+Market+Ottawa",45.4309304,-75.6904038,K1N 5M8,96,Multifamily,,,,,7,,31.99,10.09,"949,000"
75,"255+Baillie+Avenue,Constance+Bay+Ottawa",45.4854167,-76.0731056,K0A 3M0,7,Residential,Detached,1985,2,1,3,0,32.24,20.09,"257,500"
76,"PH3+-+158+Mcarthur+Avenue,Vanier+Ottawa",45.4306706,-75.6632267,K1L 8E7,76,Residential,Apartment,1972,2,1,1,1,0,0,"279,900"
77,"1407+-+245+Kent+Street,Centretown+Ottawa",45.4162921,-75.6999007,K2P 0A5,97,Residential,Apartment,2009,3,2,1,1,0,0,"900,000"
78,"41+Cento+Way,Poole+Creek+Ottawa",45.2845744,-75.9244,K2S 0W4,25,Residential,Detached,2017,5,5,4,2,30,13.75,"949,000"
79,"504+-+1422+Wellington+Street,Ottawa+West+Ottawa",45.4240683,-75.6967382,K1Y 0X7,85,Residential,Apartment,2008,2,2,1,0,0,0,"539,900"
80,"5+Jansen+Road,Trend-arlington+Ottawa",45.3284489,-75.7930938,K2H 5W6,16,Residential,Row Unit,1968,3,2,4,2,30.48,7.32,"369,000"
81,"447+Crestview+Road,Alta+Vista+Ottawa",45.3968192,-75.652848,K1H 5G7,29,Residential,Detached,1959,4,3,6,2,34.02,21.34,"1,175,000"
82,"217+-+345+St+Denis+Street,French+Quarter+Ottawa",45.4407933,-75.6632546,K1L 0A6,64,Residential,Apartment,2007,2,1,1,0,0,0,"299,900"
83,"5464+West+River+Drive,Long+Island+Ottawa",45.2292584,-75.6886482,K4M 1G7,33,Residential,Detached,,3,3,6,2,44.2,31.97,"699,900"
84,"62+-+6247+Sundown+Crescent,Convent+Glen+South+Ottawa",45.4664992,-75.539397,K1C 2M1,51,Residential,Row Unit,,3,2,1,0,0,0,"275,000"
85,"713+Des+Aubepines+Drive,Avalon+Encore+Ottawa",45.4484076,-75.4862167,K4A 1C1,37,Residential,Row Unit,2017,3,3,3,1,28,6.2,"524,900"
86,"49+Whelan+Drive,Pheasant+Run+Ottawa",45.2759398,-75.7618082,K2J 2B2,30,Residential,Row Unit,1980,3,2,3,1,27.31,12.26,"415,000"
87,"1780+Peter+Robinson+Road,Huntley+Ward+(north+West)+Ottawa",45.2849129,-76.1251743,K0A 1L0,1,Residential,Detached,2004,3,2,10,0,0,0,"399,900"
88,"1005+-+250+Lett+Street,Lebreton+Flats+Ottawa",45.4165077,-75.7123896,K1R 0A7,67,Residential,Apartment,2011,2,2,1,1,0,0,"684,900"
89,"6318+Sablewood+Place,Chapel+Hill+Ottawa",45.4471334,-75.5293371,K1C 7M3,17,Residential,Row Unit,1999,3,3,2,1,29.1,8.2,"496,000"
90,"99+Mountshannon+Drive,Longfields+Ottawa",45.2923667,-75.7342076,K2J 4C2,45,Residential,Row Unit,1993,3,2,3,1,32.12,6.1,"390,000"
91,"G+-+3062+Councillors+Way,Ottawa",45.3529535,-75.6275771,K1T 2S9,37,Residential,Stacked,1986,2,2,1,0,0,0,"209,900"
92,"220+Tivoli+Private,Citiplace+Ottawa",45.3487406,-75.7099141,K2E 0A7,18,Residential,Stacked,2011,2,2,1,0,0,0,"374,900"
93,"288+Iona+Street,Westboro-hampton+Park+Ottawa",45.3902282,-75.7445977,K1Z 7B8,68,Residential,Semi Detached,2020,3,4,2,2,0,6.67,"1,099,999"
94,"A+-+7+Sonnet+Crescent,Westcliffe+Estates+Ottawa",45.3130389,-75.8292856,K2H 8W8,30,Residential,Row Unit,1976,3,2,1,0,0,0,"248,000"
95,"220+-+45+Holland+Avenue,Tunneys+Pasture+Ottawa",45.3965617,-75.7303039,K1Y 4S3,86,Residential,Apartment,1989,1,1,0,0,0,0,"319,900"
96,"204+-+29+Main+Street,Ottawa+East+Ottawa",45.4081983,-75.6776771,K1S 1B1,76,Residential,Apartment,2002,2,2,1,1,0,0,"549,999"
97,"96+Bannerhill+Private,Heron+Gate+Ottawa",45.3738479,-75.6432395,K1V 0T4,41,Residential,Row Unit,1987,3,2,2,0,0,0,"264,900"
98,"3006+Olympic+Way,Blossom+Park+Ottawa",45.3506527,-75.6289627,K1T 1Y4,37,Residential,Row Unit,1981,3,2,1,0,0,0,"274,900"
99,"223+Saddlesmith+Circle,Emerald+Meadows+Ottawa",45.2801126,-75.850508,K2M 2Z1,12,Residential,Row Unit,2004,3,3,3,1,36,6.09,"539,880"
100,"101+-+1081+Ambleside+Street,Woodroffe+Ottawa",45.3736078,-75.781158,K2B 8C8,58,Residential,Apartment,1974,2,1,1,1,0,0,"259,900"
101,"1860+Kilborn+Avenue,Guildwood+Estates+Ottawa",45.3879259,-75.6417723,K1H 6N4,36,Residential,Detached,1969,4,3,4,1,35.69,17.39,"699,900"
102,"1102+-+38+Metropole+Private,Westboro+Ottawa",45.3975965,-75.7505611,K1Z 1E8,80,Residential,Apartment,2004,2,3,1,1,0,0,"975,000"
103,"303+-+333+Chapel+Street,Sandy+Hill+Ottawa",45.4273633,-75.6780191,K1N 8Y8,80,Residential,Apartment,1975,2,2,1,0,0,0,"399,900"
104,"PH801+-+320+Mcleod+Street,Centretown+Ottawa",45.412076,-75.6912558,K2P 1A3,94,Residential,Apartment,2007,2,3,1,1,0,0,"989,000"
105,"1449+Laurin+Crescent,Queenswood+Heights+Ottawa",45.4772355,-75.4991633,K1E 3H3,49,Residential,Detached,1984,5,4,6,2,30.48,10.67,"599,000"
106,"206+-+1705+Playfair+Drive,Playfair+Park+Ottawa",45.3892426,-75.6492091,K1H 8P6,28,Residential,Apartment,1988,2,2,1,0,0,0,"329,900"
107,"1174+Tischart+Crescent,Kanata+Lakes+Ottawa",45.3237669,-75.9311795,K2T 0G7,12,Residential,Row Unit,2011,3,3,3,1,31,7.82,"499,900"
108,"116+Cambridge+Street,Centertown+Ottawa",45.4117511,-75.7072913,K1R 7B8,90,Multifamily,,2005,,,3,1,30.17,10.06,"1,299,900"
109,"1132+St+Pierre+Street,Convent+Glen+South+Ottawa",45.4745956,-75.522267,K1C 1L5,64,Residential,Detached,1940,4,2,5,0,38.22,20.12,"549,900"
110,"699+Willowmere+Way,Findlay+Creek+Ottawa",45.3132434,-75.6172243,K1T 0L5,5,Residential,Detached,2015,5,5,4,2,30.28,13.85,"824,900"
111,"25+Alberni+Street,Barrhaven+Ottawa",45.2758719,-75.7502456,K2J 1V8,68,Residential,Row Unit,,4,3,2,1,36.58,6.1,"469,900"
112,"B+-+116+Cambridge+Street,Centertown+Ottawa",45.4117511,-75.7072913,K1R 7B8,90,Residential,Semi Detached,2005,5,3,3,0,30.17,10.06,"1,299,900"
113,"1269+Randall+Avenue,Alta+Vista+Ottawa",45.3829326,-75.6679261,K1H 7P9,72,Residential,Detached,1968,4,2,4,1,24.67,14.63,"699,900"
114,"706+-+141+Somerset+Street,Golden+Triangle+Ottawa",45.4107323,-75.7071557,K2P 2H1,95,Residential,Apartment,1976,2,2,1,1,0,0,"350,000"
115,"561+Bayview+Drive,Constance+Bay+Ottawa",45.5063905,-76.0882945,K0A 3M0,3,Residential,Detached,1960,3,1,5,1,76.1,15.22,"225,000"
116,"425+Meadowhawk+Crescent,Half+Moon+Bay+Ottawa",45.2467028,-75.7328119,K2J 5W8,4,Residential,Detached,2012,3,4,3,1,25,9.15,"619,900"
117,"58+Merritt+Avenue,Ottawa+East+Ottawa",45.404452,-75.6767992,K1S 0J6,65,Residential,Detached,1930,3,1,2,1,27.43,12.19,"779,000"
118,"105+Kimpton+Drive,Jackson+Trails+Ottawa",45.2758577,-75.9335612,K2S 0B9,40,Residential,Detached,2007,4,3,4,2,32,15.24,"700,000"
119,"72+Strachan+Street,Richmond+Ottawa",45.1909846,-75.8319084,K0A 2Z0,21,Residential,Detached,1966,2,2,6,1,37.8,32.61,"399,900"
120,"2706+-+195+Besserer+Street,Sandy+Hill+Ottawa",45.4275212,-75.6869208,K1N 7J6,97,Residential,Apartment,2015,2,2,2,0,0,0,"1,049,900"
121,"B+-+83+Glen+Park+Drive,Blackburn+Hamlet+Ottawa",45.4285502,-75.5669887,K1B 3Z1,48,Residential,Row Unit,1970,4,2,2,1,0,0,"339,900"
122,"1457+Michaelsem+Street,Sunridge+Ottawa",45.4684349,-75.5223215,K1C 7C3,43,Residential,Detached,1990,3,4,6,2,25.89,13.78,"589,900"
123,"410+Levis+Avenue,Vanier+Ottawa",45.4359222,-75.6522267,,73,Multi-family,,,,0,,,,,"699,000"
124,"401+-+199+Kent+Street,Centre+Town+Ottawa",45.4119885,-75.6960191,K2P 2K8,97,Residential,Apartment,1986,1,1,1,1,0,0,"269,900"
125,"466+Cole+Avenue,Highland+Park+-+Westboro+Ottawa",45.3884266,-75.7567583,K2A 2A9,72,Residential,Detached,1947,3,2,1,0,32.44,10.05,"865,000"
126,"37+Sunnycrest+Drive,Fisher+Heights+Ottawa",45.3686631,-75.721417,K2E 5Y4,37,Residential,Detached,1950,5,3,4,0,33.53,21.34,"519,900"
127,"1591+Apeldoorn+Avenue,Carleton+Heights+Ottawa",45.3617699,-75.7051266,K2C 1V4,41,Residential,Detached,1950,4,3,5,2,48.98,18.29,"650,000"
128,"51+Cortleigh+Drive,Hearts+Desire/barrhaven+Ottawa",45.2642181,-75.7142762,K2J 3Z8,13,Residential,Detached,1990,3,3,8,2,48.87,23.61,"989,900"
129,"4126+Navan+Road,Ottawa",45.4218236,-75.4687978,K4B 1H9,1,Residential,Detached,1994,6,4,8,0,89.28,31.66,"710,000"
130,"106+-+1099+Cadboro+Road,Carson+Grove+Ottawa",45.4321732,-75.621373,,57,Single Family,,1987,2,1,,,,,"234,900"
131,"129+Acacia+Avenue,Lindenlea+Ottawa",45.445977,-75.6730708,K1M 0R2,69,Residential,Detached,1940,4,4,4,0,29.69,14.1,"1,250,000"
132,"1709+Meadowbrook+Road,Pineview+Ottawa",45.4255514,-75.6060747,K1B 4W6,44,Residential,Row Unit,1977,4,2,1,0,0,0,"259,900"
133,"1953+Campeau+Drive,Ottawa",45.3220858,-75.8918789,K2K 0A2,38,Residential,Stacked,2006,2,2,3,1,0,0,"349,900"
134,"602+-+99+Holland+Avenue,Hintonburg+Ottawa",45.4003674,-75.7319648,K1Y 0Y1,92,Residential,Apartment,1988,2,2,1,1,0,0,"430,000"
135,"8+Byers+Court,Fallowfield+Ottawa",45.2635295,-75.8189396,K2R 1C7,1,Residential,Detached,1997,5,4,8,2,85.49,18.77,"1,475,000"
136,"301+-+120+Darlington+Private,Ottawa",45.3530896,-75.6690536,K1V 0X5,38,Residential,Apartment,1994,2,2,2,2,0,0,"658,800"
137,"404+-+318+Lorry+Greenberg+Drive,Greenboro+Ottawa",45.3634781,-75.6334131,K1T 2R5,26,Residential,Apartment,1990,2,1,1,0,0,0,"240,000"
138,"149+Andre+Audet+Avenue,Halfmoon+Bay+Ottawa",45.2441087,-75.7330458,K2J 5Z4,3,Residential,Detached,2014,3,3,3,1,27,10.36,"599,092"
139,"88+Forest+Hill+Avenue,Hogs+Back+Ottawa",45.3734443,-75.7066077,K2C 1P6,38,Residential,Detached,2019,3,3,8,2,57.61,30.97,"1,498,000"
140,"2051+Stonehenge+Crescent,Pineview+Ottawa",45.420773,-75.5983905,K1B 4N7,43,Residential,Row Unit,1976,3,3,1,0,0,0,"319,900"
141,"146+Salter+Crescent,Beaverbrook+Ottawa",45.3238442,-75.8900047,K2K 1Y8,34,Residential,Row Unit,1975,3,2,1,0,0,0,"299,000"
142,"207+-+320+Miwate+Private,Zibi+Ottawa",45.423376,-75.717421,K1R 6K8,38,Residential,Apartment,2020,2,2,1,1,0,0,"750,000"
143,"1082+Burgundy+Lane,Ottawa",45.4682698,-75.5510342,K1C 2M8,9,Residential,Semi Detached,1981,3,2,2,0,31.27,7.7,"370,000"
144,"72+Branthaven+Street,Avalon+Ottawa",45.4495306,-75.4800652,K4A 0G9,35,Residential,Detached,2011,6,4,6,2,48.16,11.59,"969,000"
145,"805+-+200+Inlet+Private,Ottawa",45.4999212,-75.4790206,K4A 5H3,3,Residential,Apartment,2019,1,1,1,1,0,0,"444,900"
146,"2445+Lookout+Drive,Ottawa",45.5112108,-75.4082312,K4B 1B7,2,Residential,Detached,1994,5,2,7,1,36.88,46.33,"649,999"
147,"2336+Alta+Vista+Drive,Alta+Vista+Ottawa",45.3841025,-75.6627133,K1H 7M7,64,Residential,Detached,1957,3,2,4,1,36.58,18.29,"650,000"
148,"110+Cartier+Street,Golden+Triangle+Ottawa",45.4164826,-75.6867659,K2P 1K3,89,Residential,Detached,1920,9,3,5,0,18.29,19.51,"849,900"
149,"96+Jolliet+Avenue,Vanier+Ottawa",45.4424514,-75.6666239,K1L 5H2,67,Multifamily,,1956,,,6,1,30.48,12.19,"375,000"
150,"514+Labrador+Crescent,Findlay+Creek+Ottawa",45.3147227,-75.5910759,K1T 0R4,33,Residential,Row Unit,2018,2,3,3,1,15,6.5,"499,900"
151,"3485+Mccarthy+Road,Hunt+Club+Ottawa",45.3398302,-75.6865503,K1V 8Z9,47,Residential,Row Unit,1976,3,2,1,0,0,0,"280,000"
152,"37+Fieldberry+Private,Stonnebridge+Ottawa",45.2607977,-75.7294595,K2J 5E8,7,Residential,Row Unit,2002,3,3,2,1,31.54,6,"499,000"
153,"704+-+401+Golden+Avenue,Westboro+Ottawa",45.3805303,-75.7529516,K2A 1H4,75,Residential,Apartment,2009,1,1,1,1,0,0,"409,900"
154,"9088+Mitch+Owens+Road,Edwards+Ottawa",45.329804,-75.449248,K0A 1V0,1,Residential,Detached,1996,4,3,8,2,81.78,41.58,"625,000"
155,"401+-+200+Rideau+Street,Byward+Market+Ottawa",45.4305613,-75.6819876,K1N 5Y1,97,Residential,Apartment,2008,2,2,1,1,0,0,"479,000"
156,"505+-+199+Kent+Street,Centre+Town+Ottawa",45.4098421,-75.6943687,K2P 2K8,97,Residential,Apartment,1986,2,1,1,1,0,0,"358,000"
157,"1679+Orford+Crescent,Fallingbrook+Ottawa",45.4735192,-75.4887262,K4A 1V6,56,Residential,Detached,1985,5,4,4,2,30.48,15.24,"589,000"
158,"102+Overberg+Way,Emerald+Meadows+Trailwest+Ottawa",45.2730266,-75.8648425,K2S 0V8,28,Residential,Row Unit,2016,3,3,2,1,26.01,6.1,"519,000"
159,"518+-+45+Holland+Avenue,Ottawa",45.4021017,-75.7329317,K1Y 4S3,91,Residential,Apartment,1989,1,1,0,0,0,0,"319,900"
160,"51+Pennard+Way,Hunt+Club+Park-greenboro+Ottawa",45.3676922,-75.634372,K1T 4C1,17,Residential,Row Unit,2002,3,3,3,1,32,6.01,"499,900"
161,"1525+Goth+Avenue,Blossom+Park+Ottawa",45.3476168,-75.6336899,K1T 1E3,38,Residential,Detached,1985,4,3,8,2,46.92,22.94,"599,999"
162,"6+Hawley+Crescent,Bridlewood+Ottawa",45.2918758,-75.8684678,K2M 1T1,48,Residential,Detached,1987,3,2,2,1,45.35,11.15,"549,000"
163,"7399+Rideau+Valley+Drive,Kars+Ottawa",45.1079785,-75.6228569,K0A 2E0,1,Residential,Detached,1954,2,1,6,0,0,30.48,"389,000"
164,"307+Mykonos+Crescent,Stittsville+(north)+Ottawa",45.2848028,-75.927942,K2S 0P1,11,Residential,Row Unit,2015,2,3,2,1,14.61,8.05,"399,000"
165,"1004+-+180+York+Street,Byward+Market+Ottawa",45.4296856,-75.6885901,K1N 1J6,97,Residential,Apartment,2004,1,1,0,0,0,0,"339,900"
